Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0018037,0.021438,0.06669,0,0,0,0.083321,2.7392E-05,-1.4366E-06,1.2287E-07,3.0504E-05,-1.3603E-07,3.7926E-05,0,0,0,0,0,0,package://folding/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://folding/meshes/base_link.STL,,左手.STEP-1/手腕底座下.STEP-1;左手.STEP-1/手腕底座上-左.STEP-1;左手.STEP-1/前壳-左.STEP-1;左手.STEP-1/后壳-左.STEP-1;左手.STEP-1/手腕手指连接2-左.STEP-1;左手.STEP-1/线盘.STEP-1;左手.STEP-1/kst A13_610 servo.STEP-1;左手.STEP-1/轴固定2-左.STEP-1;左手.STEP-1/扭簧0.7_4_3_60右_直.STEP-1;左手.STEP-1/扭簧0.7_4_3_60右_直.STEP-2;左手.STEP-1/光轴2.5_22.STEP-1;左手.STEP-1/轴固定后-左.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
th_base,-0.014284,0.010211,-0.0041,0,0,0,0.0085863,4.3472E-07,-1.4241E-10,-6.9073E-09,6.2381E-07,7.7114E-08,4.6593E-07,0,0,0,0,0,0,package://folding/meshes/th_base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://folding/meshes/th_base.STL,,左手.STEP-1/舵机组.STEP-5/舵机(1).STEP-1;左手.STEP-1/大拇指4-左.STEP-1/大拇指底座4-左.STEP-1;左手.STEP-1/舵机组.STEP-5/线盘.STEP-1;左手.STEP-1/大拇指左连杆.STEP-1;左手.STEP-1/大拇指4-左.STEP-1/手指旋转底座大拇指.STEP-1;左手.STEP-1/大拇指4-左.STEP-1/槽轴承3_10_4.STEP-3,坐标系6,基准轴2,th_base,revolute,-0.0080512,-0.067822,0.020582,1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
th_proximal,-0.018515,0.017432,0.001018,0,0,0,0.0078933,1.3994E-06,5.3688E-07,-2.8774E-10,7.7525E-07,-1.1373E-10,1.7828E-06,0,0,0,0,0,0,package://folding/meshes/th_proximal.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://folding/meshes/th_proximal.STL,,左手.STEP-1/大拇指4-左.STEP-1/大拇指近指节.STEP-1;左手.STEP-1/大拇指近指节硅胶.STEP-1;左手.STEP-1/大拇指4-左.STEP-1/槽轴承3_10_4.STEP-2,坐标系7,基准轴3,th_pip,revolute,-0.013472,0.0081269,0.021762,-3.0763,1.5336,3.1416,th_base,0,0,1,0,0,0,0,,,,,,,,
th_middle,-0.010678,0.012634,0.00099999,0,0,0,0.004061,4.5941E-07,9.9493E-08,-1.1915E-13,2.0725E-07,2.4166E-12,4.9383E-07,0,0,0,0,0,0,package://folding/meshes/th_middle.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://folding/meshes/th_middle.STL,,左手.STEP-1/大拇指4-左.STEP-1/近指节.STEP-1;左手.STEP-1/近指节硅胶.STEP-4,坐标系8,基准轴4,th_mip,revolute,-0.030114,0.041209,0,0,0,0,th_proximal,0,0,1,0,0,0,0,,,,,,,,
th_distal,-0.00785224078749341,0.00960271962149489,0.00080922620031941,0,0,0,0.00281885149443153,1.34149367153475E-07,6.11673455056129E-08,2.29131628928771E-12,1.21391924841255E-07,-3.6897403130184E-12,1.90128213429424E-07,0,0,0,0,0,0,package://folding/meshes/th_distal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding/meshes/th_distal.STL,,左手.STEP-1/大拇指4-左.STEP-1/大拇指远指节.STEP-1;左手.STEP-1/大拇指4-左.STEP-1/槽轴承3_10_4.STEP-1,坐标系9,基准轴5,th_dip,revolute,-0.01502,0.031613,0,0,0,0,th_middle,0,0,-1,0,0,0,0,,,,,,,,
ff_base,-0.015872,0.051523,-0.0025977,0,0,0,0.0079924,6.23E-07,1.156E-07,5.9566E-09,2.3484E-07,-1.9121E-08,7.0033E-07,0,0,0,0,0,0,package://folding/meshes/ff_base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://folding/meshes/ff_base.STL,,左手.STEP-1/舵机组.STEP-1/舵机(1).STEP-1;左手.STEP-1/食指左连杆.STEP-1;左手.STEP-1/手指线导.STEP-1;左手.STEP-1/食指.STEP-1/手指底座.STEP-1/手指底座_精简版.STEP-1;左手.STEP-1/食指.STEP-1/手指底座.STEP-1/手指旋转底座.STEP-1;左手.STEP-1/槽轴承3_10_4.STEP-6;左手.STEP-1/舵机组.STEP-1/线盘.STEP-1,坐标系5,基准轴2,ff_base,revolute,-0.0080512,-0.072222,0.020582,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
ff_proximal,-0.0042227,0.012982,-0.0012,0,0,0,0.004061,4.901E-07,-3.4899E-08,1.1575E-12,1.7656E-07,2.3713E-12,4.9383E-07,0,0,0,0,0,0,package://folding/meshes/ff_proximal.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://folding/meshes/ff_proximal.STL,,左手.STEP-1/食指.STEP-1/近指节.STEP-1;左手.STEP-1/近指节硅胶.STEP-1,坐标系10,基准轴6,ff_pip,revolute,-0.0184,0.07655,-0.0025,3.1416,-1.5708,0,ff_base,0,0,1,0,0,0,0,,,,,,,,
ff_distal,-0.0022373,0.017837,-0.0010006,0,0,0,0.0040496,6.2332E-07,7.0061E-08,9.2542E-12,9.0922E-08,-4.6903E-11,6.2664E-07,0,0,0,0,0,0,package://folding/meshes/ff_distal.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://folding/meshes/ff_distal.STL,,左手.STEP-1/食指.STEP-1/食指远指节.STEP-1;左手.STEP-1/槽轴承3_10_4.STEP-5,坐标系11,基准轴7,ff_dip,revolute,0,0.031987,0,0,0,0,ff_proximal,0,0,1,0,0,0,0,,,,,,,,
mf_base,0.000149684239257876,0.0507417012696094,-0.00653466167513372,0,0,0,0.00814534759305231,8.10827069902262E-07,1.86170600888022E-08,1.53146095361982E-09,2.00127007534791E-07,1.17844359837228E-08,8.49680231062109E-07,0,0,0,0,0,0,package://folding/meshes/mf_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://folding/meshes/mf_base.STL,,左手.STEP-1/槽轴承3_10_4.STEP-4;左手.STEP-1/中指.STEP-1/手指底座-2.STEP-1/手指旋转底座.STEP-1;左手.STEP-1/舵机组.STEP-2/舵机(1).STEP-1;左手.STEP-1/中指直连杆-左.STEP-1;左手.STEP-1/舵机组.STEP-2/线盘.STEP-1;左手.STEP-1/中指.STEP-1/手指底座-2.STEP-1/手指底座_精简版.STEP-1;左手.STEP-1/手指线导.STEP-2,坐标系4,基准轴2,mf_base,fixed,-0.0080512,-0.076622,0.020582,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
mf_proximal,-0.0042227,0.015994,-0.0011,0,0,0,0.004061,4.901E-07,-3.4899E-08,1.1575E-12,1.7656E-07,2.3713E-12,4.9383E-07,0,0,0,0,0,0,package://folding/meshes/mf_proximal.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://folding/meshes/mf_proximal.STL,,左手.STEP-1/近指节硅胶.STEP-2;左手.STEP-1/中指.STEP-1/近指节.STEP-1,坐标系12,基准轴8,mf_pip,revolute,-0.0013,0.07655,-0.0069,3.1416,-1.5708,0,mf_base,0,0,-1,0,0,0,0,,,,,,,,
